way	weight	speed
514.0	98.27	17.21
515.0	98.27	17.21
516.0	98.27	17.21
517.0	98.27	17.21
518.0	98.27	17.21
519.0	98.27	17.21
520.0	98.27	17.21
521.0	98.27	17.2
522.0	98.27	17.2
523.0	98.27	17.2
524.0	98.27	17.2
525.0	98.27	17.2
526.0	98.27	17.2
527.0	98.27	17.2
528.0	98.27	17.2
529.0	98.27	17.2
530.0	98.27	17.2
531.0	98.27	17.2
532.0	98.27	17.2
533.0	98.27	17.19
534.0	98.27	17.19
535.0	98.27	17.19
536.0	98.27	17.19
537.0	98.27	17.19
538.0	98.27	17.19
539.0	98.27	17.19
540.0	98.27	17.19
541.0	98.27	17.19
542.0	98.27	17.19
543.0	98.27	17.19
544.0	98.27	17.19
545.0	98.27	17.18
546.0	98.27	17.18
547.0	98.27	17.18
548.0	98.27	17.18
549.0	98.27	17.18
550.0	98.27	17.18
551.0	98.27	17.18
552.0	98.27	17.18
553.0	98.27	17.18
554.0	98.27	17.18
555.0	98.27	17.18
556.0	98.27	17.18
557.0	98.27	17.17
558.0	98.27	17.17
559.0	98.27	17.17
560.0	98.27	17.17
561.0	98.27	17.17
562.0	98.27	17.17
563.0	98.27	17.17
564.0	98.27	17.17
565.0	98.27	17.17
566.0	98.27	17.17
567.0	98.27	17.17
568.0	98.27	17.17
569.0	98.27	17.16
570.0	98.27	17.16
571.0	98.27	17.16
572.0	98.27	17.16
573.0	98.27	17.16
574.0	98.27	17.16
575.0	98.27	17.16
576.0	98.27	17.16
577.0	98.27	17.16
578.0	98.27	17.16
579.0	98.27	17.16
580.0	98.27	17.16
581.0	98.27	17.15
582.0	98.27	17.15
583.0	98.27	17.15
584.0	98.27	17.15
585.0	98.27	17.15
586.0	98.27	17.15
587.0	98.27	17.15
588.0	98.27	17.15
589.0	98.27	17.15
590.0	98.27	17.15
591.0	98.27	17.15
592.0	98.27	17.15
593.0	98.27	17.14
594.0	98.27	17.14
595.0	98.27	17.14
596.0	98.27	17.14
597.0	98.27	17.14
598.0	98.27	17.14
599.0	98.27	17.14
600.0	98.27	17.14
601.0	98.27	17.14
602.0	98.27	17.14
603.0	98.27	17.14
604.0	98.27	17.14
605.0	98.27	17.13
606.0	98.27	17.13
607.0	98.27	17.13
608.0	98.27	17.13
609.0	98.27	17.13
610.0	98.27	17.13
611.0	98.27	17.13
612.0	98.27	17.13
613.0	98.27	17.13
614.0	98.27	17.13
615.0	98.27	17.13
616.0	98.27	17.13
617.0	98.27	17.12
618.0	98.27	17.12
619.0	98.27	17.12
620.0	98.27	17.12
621.0	98.27	17.12
622.0	98.27	17.12
623.0	98.27	17.12
624.0	98.27	17.12
625.0	98.27	17.12
626.0	98.27	17.12
627.0	98.27	17.12
628.0	98.27	17.12
629.0	98.27	17.11
630.0	98.27	17.11
631.0	98.27	17.11
632.0	98.27	17.11
633.0	98.27	17.11
634.0	98.27	17.11
635.0	98.27	17.11
636.0	98.27	17.11
637.0	98.27	17.11
638.0	98.27	17.11
639.0	98.27	17.11
640.0	98.27	17.11
641.0	98.27	17.1
642.0	98.27	17.1
643.0	98.27	17.1
644.0	98.27	17.1
645.0	98.27	17.1
646.0	98.27	17.1
647.0	98.27	17.1
648.0	98.27	17.1
649.0	98.27	17.1
650.0	98.27	17.1
651.0	98.27	17.1
652.0	98.27	17.1
653.0	98.27	17.09
654.0	98.27	17.09
655.0	98.27	17.09
656.0	98.27	17.09
657.0	98.27	17.09
658.0	98.27	17.09
659.0	98.27	17.09
660.0	98.27	17.09
661.0	98.27	17.09
662.0	98.27	17.09
663.0	98.27	17.09
664.0	98.27	17.09
665.0	98.27	17.08
666.0	98.27	17.08
667.0	98.27	17.08
668.0	98.27	17.08
669.0	98.27	17.08
670.0	98.27	17.08
671.0	98.27	17.08
672.0	98.27	17.08
673.0	98.27	17.08
674.0	98.27	17.08
675.0	98.27	17.08
676.0	98.27	17.08
677.0	98.27	17.07
678.0	98.27	17.07
679.0	98.27	17.07
680.0	98.27	17.07
681.0	98.27	17.07
682.0	98.27	17.07
683.0	98.27	17.07
684.0	98.27	17.07
685.0	98.27	17.07
686.0	98.27	17.07
687.0	98.27	17.07
688.0	98.27	17.07
689.0	98.27	17.07
690.0	98.27	17.06
691.0	98.27	17.06
692.0	98.27	17.06
693.0	98.27	17.06
694.0	98.27	17.06
695.0	98.27	17.06
696.0	98.27	17.06
697.0	98.27	17.06
698.0	98.27	17.06
699.0	98.27	17.06
700.0	98.27	17.06
701.0	98.27	17.05
702.0	98.27	17.05
703.0	98.27	17.05
704.0	98.27	17.05
705.0	98.27	17.05
706.0	98.27	17.05
707.0	98.27	17.05
708.0	98.27	17.05
709.0	98.27	17.05
710.0	98.27	17.05
711.0	98.27	17.05
712.0	98.27	17.05
713.0	98.27	17.04
714.0	98.27	17.04
715.0	98.27	17.04
716.0	98.27	17.04
717.0	98.27	17.04
718.0	98.27	17.04
719.0	98.27	17.04
720.0	98.27	17.04
721.0	98.27	17.04
722.0	98.27	17.04
723.0	98.27	17.04
